S_No,INV_NO,INV_MONTH,INV_TYPE,CUSTOMER_NUMBER,CUSTOMER_NAME,ORDER_NUMBER,ORDER_TYPE,UNIT_CD,INV_VALUE,SALESREP,PROD_CODE,PROD_GROUP,PRICE_LIST,YY_MM,SAL_COM_NEW,SAL_COM_PER,SAL_COM_VL,SAL_COM_SSIL
16,1112303899,Feb-24,U11-Machine-Domestic,443503,BABASAHEB AMBEDKAR MAGASWARGYA SAHAKARI SOOTGIRNI ,110010751,TMD Machines Domestic UN1,11,7822900,"TMD-Nagpur-VL, SalesEngnr",549,SPEED FRAME,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,273801.5,3.5,205351.13,68450.37
17,1112303875,Feb-24,U11-Machine-Domestic,467152,KANCHAN INDIA LIMITED,110011132,TMD Machines Domestic UN1,11,2423500,"TMD-Indore-VL, SalesEngnr",255,CARDING,TMDMC-DOMESTIC-DEC-2021,202402,109057.5,4.5,81793.13,27264.37
18,1112303886,Feb-24,U11-Machine-Domestic,424721,UNITECH COTSPIN LIMITED,110011142,TMD Machines Domestic UN1,11,4963200,"TMD-Ahmedabad-VL, SalesEngnr",487,COMBER,TMDMC-DOMESTIC-MAY-2023(with incentive),202402,223344,4.5,167508,55836
19,1212303703,Feb-24,U12-Machine-Domestic,458085,SHREE JAGANNATH SPINTEX PVT. LTD.,210011826,TMD Machines Domestic UN2,12,90700,"TMD-Kolkata-VL, SalesEngnr",52,BLOW ROOM,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,4081.5,4.5,3061.13,1020.37
20,1112303873,Feb-24,U11-Machine-Domestic,478137,GESL SPINNERS PRIVATE LIMITED,110011027,TMD Machines Domestic UN1,11,660800,"TMD-Delhi-VL, SalesEngnr",721,CARDING,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,29736,4.5,22302,7434
21,1112303871,Feb-24,U11-Machine-Domestic,431020,BLOOMTEX INDUSTRIES PRIVATE LIMITED,110011006,TMD Machines Domestic UN1,11,660800,"TMD-Chandigarh D-VL, SalesEngnr",721,CARDING,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,29736,4.5,22302,7434
22,1112303858,Feb-24,U11-Machine-Domestic,443136,AARIKA SPINTEX,110010294,TMD Machines Domestic UN1,11,2397700,"TMD-Nagpur-VL, SalesEngnr",389,DRAW FRAME,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,107896.5,4.5,80922.38,26974.12
23,1212303698,Feb-24,U12-Machine-Domestic,467174,"SANGAM (INDIA) LTD.,",210012358,TMD Machines Domestic UN2,12,105100,"TMD-Indore-VL, SalesEngnr",51,BLOW ROOM,TMDMC-DOMESTIC-MAY-2023(with incentive),202402,4729.5,4.5,3547.13,1182.37
24,1212303694,Feb-24,U12-Machine-Domestic,422160,HARIPRIYA SPINNING MILL PVT LTD,210011251,TMD Machines Domestic UN2,12,14556488,"TMD-Ahmedabad-VL, SalesEngnr",676,RING FRAME,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,509477.08,3.5,382107.81,127369.27
25,1112303849,Feb-24,U11-Machine-Domestic,424721,UNITECH COTSPIN LIMITED,110011142,TMD Machines Domestic UN1,11,4963200,"TMD-Ahmedabad-VL, SalesEngnr",487,COMBER,TMDMC-DOMESTIC-MAY-2023(with incentive),202402,223344,4.5,167508,55836
26,1112303848,Feb-24,U11-Machine-Domestic,424721,UNITECH COTSPIN LIMITED,110011142,TMD Machines Domestic UN1,11,4963200,"TMD-Ahmedabad-VL, SalesEngnr",487,COMBER,TMDMC-DOMESTIC-MAY-2023(with incentive),202402,223344,4.5,167508,55836
27,1212303688,Feb-24,U12-Machine-Domestic,470709,VARSIDHI MILLS,210012353,TMD Machines Domestic UN2,12,92500,"TMD-Coimbatore Su-SSIL, SalesEngr",52,BLOW ROOM,TMDMC-DOMESTIC-MAY-2023(with incentive),202402,4162.5,4.5,3121.88,1040.62
28,1212303684,Feb-24,U12-Machine-Domestic,471184,"SUPERTEX MILLS (INDIA) PVT LTD.,",210011742,TMD Machines Domestic UN2,12,335000,"TMD-Coimbatore SU-VL, SalesEngnr",60,BLOW ROOM,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,15075,4.5,11306.25,3768.75
29,1112303841,Feb-24,U11-Machine-Domestic,471056,RAJAPALAYAM MILLS LIMITED,110010231,TMD Machines Domestic UN1,11,629300,"TMD-Madurai-VL, SalesEngnr",721,CARDING,TMDMC-DOMESTIC-DEC-2021,202402,28318.5,4.5,21238.88,7079.62
30,1112303840,Feb-24,U11-Machine-Domestic,471184,"SUPERTEX MILLS (INDIA) PVT LTD.,",110010786,TMD Machines Domestic UN1,11,2408900,"TMD-Coimbatore SU-VL, SalesEngnr",389,DRAW FRAME,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,108400.5,4.5,81300.38,27100.12
31,1112303812,Feb-24,U11-Machine-Domestic,443502,"PARVATI SAHAKARI SOOT GIRINI LTD.,",110009377,TMD Machines Domestic UN1,11,660800,"TMD-Kolhapur-VL, SalesEngnr",721,CARDING,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,29736,4.5,22302,7434
32,1112303808,Feb-24,U11-Machine-Domestic,467152,KANCHAN INDIA LIMITED,110010306,TMD Machines Domestic UN1,11,2423500,"TMD-Indore-VL, SalesEngnr",255,CARDING,TMDMC-DOMESTIC-DEC-2021,202402,109057.5,4.5,81793.13,27264.37
33,1112303805,Feb-24,U11-Machine-Domestic,443502,"PARVATI SAHAKARI SOOT GIRINI LTD.,",110009377,TMD Machines Domestic UN1,11,2544800,"TMD-Kolhapur-VL, SalesEngnr",255,CARDING,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,114516,4.5,85887,28629
34,1212303666,Feb-24,U12-Machine-Domestic,470236,SHREE MURUGAN SPINNERS,210011352,TMD Machines Domestic UN2,12,138100,"TMD-Coimbatore Su-SSIL, SalesEngr",24,BLOW ROOM,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,6214.5,4.5,4660.88,1553.62
35,1212303664,Feb-24,U12-Machine-Domestic,470236,SHREE MURUGAN SPINNERS,210011352,TMD Machines Domestic UN2,12,918700,"TMD-Coimbatore Su-SSIL, SalesEngr",125,BLOW ROOM,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,41341.5,4.5,31006.13,10335.37
36,1212303663,Feb-24,U12-Machine-Domestic,472695,"SELVI SPINNING MILL,",210011715,TMD Machines Domestic UN2,12,103100,"TMD-Coimbatore ND-VL, SalesEngnr",51,BLOW ROOM,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,4639.5,4.5,3479.63,1159.87
37,1112303790,Feb-24,U11-Machine-Domestic,422186,KANSAL SPINNING MILLS PVT LTD,110010947,TMD Machines Domestic UN1,11,660800,"TMD-Ahmedabad-VL, SalesEngnr",721,CARDING,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,29736,4.5,22302,7434
38,1112303777,Feb-24,U11-Machine-Domestic,458084,MAHADEV SPINNING MILLS PVT LTD.,110010591,TMD Machines Domestic UN1,11,2544800,"TMD-Kolkata-VL, SalesEngnr",255,CARDING,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,114516,4.5,85887,28629
39,1112303776,Feb-24,U11-Machine-Domestic,422108,RAM SPINNING MILLS PRIVATE LIMITED,110011111,TMD Machines Domestic UN1,11,2659300,"TMD-Ahmedabad-VL, SalesEngnr",335,DRAW FRAME,TMDMC-DOMESTIC-MAY-2023(with incentive),202402,119668.5,4.5,89751.38,29917.12
40,1112303774,Feb-24,U11-Machine-Domestic,473509,RAJAPALAYAM TEXTILES,110010167,TMD Machines Domestic UN1,11,2502500,"TMD-Madurai-VL, SalesEngnr",255,CARDING,TMDMC-DOMESTIC-DEC-2021,202402,112612.5,4.5,84459.38,28153.12
41,1112303772,Feb-24,U11-Machine-Domestic,422141,VISHALSPINTEX,110011217,TMD Machines Domestic UN1,11,1341100,"TMD-Ahmedabad-VL, SalesEngnr",380,DRAW FRAME,TMDMC-DOMESTIC-MAY-2023(with incentive),202402,60349.5,4.5,45262.13,15087.37
42,1112303766,Feb-24,U11-Machine-Domestic,443955,GIMATEX INDUSTRIES PVT.LTD.(SPG-BELA),110010425,TMD Machines Domestic UN1,11,647250,"TMD-Nagpur-VL, SalesEngnr",721,CARDING,TMDMC-DOMESTIC-DEC-2021,202402,29126.25,4.5,21844.69,7281.56
43,1112303753,Feb-24,U11-Machine-Domestic,424721,UNITECH COTSPIN LIMITED,110011142,TMD Machines Domestic UN1,11,4963200,"TMD-Ahmedabad-VL, SalesEngnr",487,COMBER,TMDMC-DOMESTIC-MAY-2023(with incentive),202402,223344,4.5,167508,55836
44,1212303643,Feb-24,U12-Machine-Domestic,422167,SHREEJI YARN SPINNING MILLS PRIVATE LIMITED,210011854,TMD Machines Domestic UN2,12,138100,"TMD-Ahmedabad-VL, SalesEngnr",24,BLOW ROOM,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,6214.5,4.5,4660.88,1553.62
45,1212303638,Feb-24,U12-Machine-Domestic,431020,BLOOMTEX INDUSTRIES PRIVATE LIMITED,210012086,TMD Machines Domestic UN2,12,10489460,"TMD-Chandigarh D-VL, SalesEngnr",675,RING FRAME,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,367131.1,3.5,275348.33,91782.77
46,1112303729,Feb-24,U11-Machine-Domestic,426227,INDIA SPINNING INDUSTRIES PVT LTD,110011154,TMD Machines Domestic UN1,11,660800,"TMD-Delhi-VL, SalesEngnr",726,CARDING,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,29736,4.5,22302,7434
47,1112303727,Feb-24,U11-Machine-Domestic,470035,HINDUSTAN TEXTILES,110010344,TMD Machines Domestic UN1,11,5143300,"TMD-Coimbatore Su-SSIL, SalesEngr",266,CARDING,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,231448.5,4.5,173586.38,57862.12
48,1212303627,Feb-24,U12-Machine-Domestic,471870,SULOCHANA COTTON SPG.MILLS PVT. LTD,210011152,TMD Machines Domestic UN2,12,1407000,"TMD-Coimbatore Su-SSIL, SalesEngr",9979,SPINPACT,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,49245,3.5,36933.75,12311.25
49,1112303714,Feb-24,U11-Machine-Domestic,471117,"ANGALAKSHMI SPINNING MILL,",110009524,TMD Machines Domestic UN1,11,660800,"TMD-Coimbatore NU-VL, SalesEngnr",721,CARDING,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,29736,4.5,22302,7434
50,1112303713,Feb-24,U11-Machine-Domestic,471117,"ANGALAKSHMI SPINNING MILL,",110009524,TMD Machines Domestic UN1,11,2627800,"TMD-Coimbatore NU-VL, SalesEngnr",255,CARDING,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,118251,4.5,88688.25,29562.75
51,1212303625,Feb-24,U12-Machine-Domestic,422186,KANSAL SPINNING MILLS PVT LTD,210012002,TMD Machines Domestic UN2,12,13167144,"TMD-Ahmedabad-VL, SalesEngnr",676,RING FRAME,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,460850.04,3.5,345637.53,115212.51
52,1112303703,Feb-24,U11-Machine-Domestic,443005,BHILOSA INDUSTRIES PVT LTD,110009630,TMD Machines Domestic UN1,11,660800,"TMD-Mumbai-VL, SalesEngnr",721,CARDING,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,29736,4.5,22302,7434
53,1112303699,Feb-24,U11-Machine-Domestic,470570,AMBERTEX UNIVERSAL SPINNING DIVISION,110010963,TMD Machines Domestic UN1,11,660800,"TMD-Coimbatore ND-VL, SalesEngnr",721,CARDING,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,29736,4.5,22302,7434
54,1212303614,Feb-24,U12-Machine-Domestic,467152,KANCHAN INDIA LIMITED,210012245,TMD Machines Domestic UN2,12,50500,"TMD-Indore-VL, SalesEngnr",52,BLOW ROOM,TMDMC-DOMESTIC-DEC-2021,202402,2272.5,4.5,1704.38,568.12
55,1212303593,Feb-24,U12-Machine-Domestic,467011,BANSWARA SYNTEX LTD,210011862,TMD Machines Domestic UN2,12,3234354,"TMD-Indore-VL, SalesEngnr",674,RING FRAME,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,113202.39,3.5,84901.79,28300.6
56,1112303682,Feb-24,U11-Machine-Domestic,422186,KANSAL SPINNING MILLS PVT LTD,110010947,TMD Machines Domestic UN1,11,8004100,"TMD-Ahmedabad-VL, SalesEngnr",551,SPEED FRAME,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,280143.5,3.5,210107.63,70035.87
57,1212303590,Feb-24,U12-Machine-Domestic,467152,KANCHAN INDIA LIMITED,210012245,TMD Machines Domestic UN2,12,1354500,"TMD-Indore-VL, SalesEngnr",157,BLOW ROOM,TMDMC-DOMESTIC-DEC-2021,202402,60952.5,4.5,45714.38,15238.12
58,1212303589,Feb-24,U12-Machine-Domestic,467152,KANCHAN INDIA LIMITED,210012245,TMD Machines Domestic UN2,12,91500,"TMD-Indore-VL, SalesEngnr",45,BLOW ROOM,TMDMC-DOMESTIC-DEC-2021,202402,4117.5,4.5,3088.13,1029.37
59,1212303588,Feb-24,U12-Machine-Domestic,444100,LOKNETE GOPINATHRAOJI MUNDE MAGASVAR,210009108,TMD Machines Domestic UN2,12,14416040,"TMD-Mumbai-VL, SalesEngnr",676,RING FRAME,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,504561.4,3.5,378421.05,126140.35
60,1212303586,Feb-24,U12-Machine-Domestic,443502,"PARVATI SAHAKARI SOOT GIRINI LTD.,",210011992,TMD Machines Domestic UN2,12,9996400,"TMD-Kolhapur-VL, SalesEngnr",676,RING FRAME,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,349874,3.5,262405.5,87468.5
61,1212303567,Feb-24,U12-Machine-Domestic,443005,BHILOSA INDUSTRIES PVT LTD,210010466,TMD Machines Domestic UN2,12,51800,"TMD-Mumbai-VL, SalesEngnr",49,BLOW ROOM,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,2331,4.5,1748.25,582.75
62,1212303573,Feb-24,U12-Machine-Domestic,422108,RAM SPINNING MILLS PRIVATE LIMITED,210012215,TMD Machines Domestic UN2,12,47500,"TMD-Ahmedabad-VL, SalesEngnr",53,BLOW ROOM,TMDMC-DOMESTIC-MAY-2023(with incentive),202402,2137.5,4.5,1603.13,534.37
63,1212303572,Feb-24,U12-Machine-Domestic,443005,BHILOSA INDUSTRIES PVT LTD,210010466,TMD Machines Domestic UN2,12,311100,"TMD-Mumbai-VL, SalesEngnr",60,BLOW ROOM,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,13999.5,4.5,10499.63,3499.87
64,1112303650,Feb-24,U11-Machine-Domestic,478137,GESL SPINNERS PRIVATE LIMITED,110011027,TMD Machines Domestic UN1,11,660800,"TMD-Delhi-VL, SalesEngnr",721,CARDING,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,29736,4.5,22302,7434
65,1112303643,Feb-24,U11-Machine-Domestic,443137,EVERGREENTEX YARNS PRIVATE LIMITED,110010341,TMD Machines Domestic UN1,11,660800,"TMD-Nagpur-VL, SalesEngnr",721,CARDING,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,29736,4.5,22302,7434
66,1112303645,Feb-24,U11-Machine-Domestic,443005,BHILOSA INDUSTRIES PVT LTD,110009630,TMD Machines Domestic UN1,11,2627800,"TMD-Mumbai-VL, SalesEngnr",255,CARDING,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,118251,4.5,88688.25,29562.75
67,1112303636,Feb-24,U11-Machine-Domestic,478137,GESL SPINNERS PRIVATE LIMITED,110011027,TMD Machines Domestic UN1,11,660800,"TMD-Delhi-VL, SalesEngnr",721,CARDING,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,29736,4.5,22302,7434
68,1212303557,Feb-24,U12-Machine-Domestic,472869,S V SPINNERS,210011960,TMD Machines Domestic UN2,12,234000,"TMD-Coimbatore NU-VL, SalesEngnr",60,BLOW ROOM,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,10530,4.5,7897.5,2632.5
69,1212303549,Feb-24,U12-Machine-Domestic,472869,S V SPINNERS,210011960,TMD Machines Domestic UN2,12,60900,"TMD-Coimbatore NU-VL, SalesEngnr",188,BLOW ROOM,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,2740.5,4.5,2055.38,685.12
70,1112303619,Feb-24,U11-Machine-Domestic,467052,RSWM LIMITED,110010640,TMD Machines Domestic UN1,11,660800,"TMD-Indore-VL, SalesEngnr",721,CARDING,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,29736,4.5,22302,7434
71,1212303545,Feb-24,U12-Machine-Domestic,422160,HARIPRIYA SPINNING MILL PVT LTD,210011251,TMD Machines Domestic UN2,12,142500,"TMD-Ahmedabad-VL, SalesEngnr",186,BLOW ROOM,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,6412.5,4.5,4809.38,1603.12
72,1212303538,Feb-24,U12-Machine-Domestic,422108,RAM SPINNING MILLS PRIVATE LIMITED,210012215,TMD Machines Domestic UN2,12,45500,"TMD-Ahmedabad-VL, SalesEngnr",48,BLOW ROOM,TMDMC-DOMESTIC-MAY-2023(with incentive),202402,2047.5,4.5,1535.63,511.87
73,1212303536,Feb-24,U12-Machine-Domestic,471662,"SANDHYA SPINNING MILL LTD.,",210012295,TMD Machines Domestic UN2,12,45500,"TMD-Madurai-VL, SalesEngnr",48,BLOW ROOM,TMDMC-DOMESTIC-MAY-2023(with incentive),202402,2047.5,4.5,1535.63,511.87
74,1212303532,Feb-24,U12-Machine-Domestic,422108,RAM SPINNING MILLS PRIVATE LIMITED,210012215,TMD Machines Domestic UN2,12,92500,"TMD-Ahmedabad-VL, SalesEngnr",52,BLOW ROOM,TMDMC-DOMESTIC-MAY-2023(with incentive),202402,4162.5,4.5,3121.88,1040.62
75,1212303531,Feb-24,U12-Machine-Domestic,422108,RAM SPINNING MILLS PRIVATE LIMITED,210012215,TMD Machines Domestic UN2,12,92500,"TMD-Ahmedabad-VL, SalesEngnr",52,BLOW ROOM,TMDMC-DOMESTIC-MAY-2023(with incentive),202402,4162.5,4.5,3121.88,1040.62
76,1212303529,Feb-24,U12-Machine-Domestic,422108,RAM SPINNING MILLS PRIVATE LIMITED,210012215,TMD Machines Domestic UN2,12,92500,"TMD-Ahmedabad-VL, SalesEngnr",52,BLOW ROOM,TMDMC-DOMESTIC-MAY-2023(with incentive),202402,4162.5,4.5,3121.88,1040.62
77,1212303760,Feb-24,U12-Machine-Domestic,472541,R.G. SPINNING MILLS PRIVATE LTD,210002625,TMD Machines Domestic UN2,12,1018400,"TMD-Coimbatore Nr-SSIL, SalesEngr",122,BLOW ROOM,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,45828,4.5,34371,11457
78,1212303758,Feb-24,U12-Machine-Domestic,422160,HARIPRIYA SPINNING MILL PVT LTD,210011251,TMD Machines Domestic UN2,12,14556488,"TMD-Ahmedabad-VL, SalesEngnr",676,RING FRAME,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,509477.08,3.5,382107.81,127369.27
79,1212303754,Feb-24,U12-Machine-Domestic,426091,RAISONS FIBRES,210011861,TMD Machines Domestic UN2,12,1886800,"TMD-Delhi-VL, SalesEngnr",126,BLOW ROOM,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,84906,4.5,63679.5,21226.5
80,1112303964,Feb-24,U11-Machine-Domestic,443136,AARIKA SPINTEX,110010294,TMD Machines Domestic UN1,11,10366400,"TMD-Nagpur-VL, SalesEngnr",551,SPEED FRAME,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,362824,3.5,272118,90706
81,1212303742,Feb-24,U12-Machine-Domestic,443164,GOVIND MAGASVARGIYA SAHAKARI SOOT GIRNI MARYADIT,210012328,TMD Machines Domestic UN2,12,14730440,"TMD-Mumbai-VL, SalesEngnr",676,RING FRAME,TMDMC-DOMESTIC-MAY-2023(with incentive),202402,515565.4,3.5,386674.05,128891.35
82,1212303732,Feb-24,U12-Machine-Domestic,444100,LOKNETE GOPINATHRAOJI MUNDE MAGASVAR,210009108,TMD Machines Domestic UN2,12,14416040,"TMD-Mumbai-VL, SalesEngnr",676,RING FRAME,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,504561.4,3.5,378421.05,126140.35
83,1212303730,Feb-24,U12-Machine-Domestic,470236,SHREE MURUGAN SPINNERS,210011352,TMD Machines Domestic UN2,12,2612300,"TMD-Coimbatore Su-SSIL, SalesEngr",74,BLOW ROOM,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,117553.5,4.5,88165.13,29388.37
84,1112303958,Feb-24,U11-Machine-Domestic,467152,KANCHAN INDIA LIMITED,110011132,TMD Machines Domestic UN1,11,629300,"TMD-Indore-VL, SalesEngnr",721,CARDING,TMDMC-DOMESTIC-DEC-2021,202402,28318.5,4.5,21238.88,7079.62
85,1112303957,Feb-24,U11-Machine-Domestic,424275,APL Corporation Private Limited,110010965,TMD Machines Domestic UN1,11,660800,"TMD-Ahmedabad-VL, SalesEngnr",721,CARDING,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,29736,4.5,22302,7434
86,1112303955,Feb-24,U11-Machine-Domestic,422156,RADHARAMAN COTSPIN PRIVATE LIMITED,110010333,TMD Machines Domestic UN1,11,660800,"TMD-Ahmedabad-VL, SalesEngnr",721,CARDING,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,29736,4.5,22302,7434
87,1112303953,Feb-24,U11-Machine-Domestic,467152,KANCHAN INDIA LIMITED,110011132,TMD Machines Domestic UN1,11,2423500,"TMD-Indore-VL, SalesEngnr",255,CARDING,TMDMC-DOMESTIC-DEC-2021,202402,109057.5,4.5,81793.13,27264.37
88,1112303949,Feb-24,U11-Machine-Domestic,470060,G.V.G.INDUSTRIES (P) LIMITED,110010504,TMD Machines Domestic UN1,11,629300,"TMD-Coimbatore SU-VL, SalesEngnr",721,CARDING,TMDMC-DOMESTIC-DEC-2021,202402,28318.5,4.5,21238.88,7079.62
89,1112303943,Feb-24,U11-Machine-Domestic,458084,MAHADEV SPINNING MILLS PVT LTD.,110010591,TMD Machines Domestic UN1,11,2544800,"TMD-Kolkata-VL, SalesEngnr",255,CARDING,TMDMC-DOMESTIC-AUG-2023(without incentive),202402,114516,4.5,85887,28629
90,1212303725,Feb-24,U12-Machine-Domestic,467152,KANCHAN INDIA LIMITED,210012245,TMD Machines Domestic UN2,12,49300,"TMD-Indore-VL, SalesEngnr",49,BLOW ROOM,TMDMC-DOMESTIC-DEC-2021,202402,2218.5,4.5,1663.88,554.62
